feature,Selected
id,True
var53,True
var32,True
var33,True
var1,True
var35,True
var36,True
var37,True
var40,True
var42,True
var43,True
var50,True
var52,True
var54,True
var28,True
var55,True
var56,True
var57,True
var58,True
var59,True
var60,True
var61,True
var62,True
var63,True
var64,True
var67,True
var29,True
var34,True
var68,True
var12,True
var14,True
var15,True
var11,True
var16,True
var26,True
var8,True
var7,True
var6,True
var17,True
var18,True
var5,True
var19,True
var4,True
var3,True
var20,True
var21,True
var22,True
var23,True
var25,True
var2,True
var13,True
var9,False
var10,False
var65,False
var66,False
var27,False
var51,False
var49,False
var47,False
var46,False
var45,False
var44,False
var41,False
var39,False
var38,False
var24,False
var31,False
var30,False
var48,False
